,time,x0,x0 err,y0,y0 err,r,r err
0,356.5,-0.007773635647735366,0.03353429376288567,0.0767592184677618,0.04763676979514145,0.2717005998435223,0.024782543584460227
1,357.0,0.03960457858495703,0.020147976310999918,-0.011465234597509925,0.03242007058647994,0.25970901375144667,0.014361511998098509
2,357.5,0.004742087112107218,0.01337320072507199,0.05189045362994972,0.02260978953964528,0.2699276313141954,0.011961276043649846
3,358.0,0.03887644864668027,0.013754338048279274,-0.020088730383498156,0.021013005608773647,0.282666697709916,0.012975898096825466
4,358.5,0.029205117254017643,0.008538749403790067,-0.005472573842821443,0.026209288922643223,0.29504996360645447,0.008629870644635069
5,359.0,0.03994405010611801,0.016666179736016393,0.009465966283698753,0.017324180223752084,0.28512171568070865,0.015841988690050404
6,359.5,0.02436165002889723,0.012069415657273314,-0.013111864503782149,0.03439604544096944,0.29090443562536145,0.01156797447954022
7,360.0,0.041302670141788456,0.013332625200339648,0.018237988682085926,0.040258963711430645,0.2826825109930933,0.013470974313040248
8,362.0,0.04486741805838501,0.015671148623462146,0.02260926344539524,0.029218325157581354,0.2804932199519971,0.015474005929986686
9,362.5,0.03859596641539986,0.00775803837637145,0.04875651128585174,0.014947410234689321,0.2780234860557566,0.007353337059498067
10,363.0,0.04546053207478018,0.005788197850860011,0.032644064881364815,0.014440012883729049,0.27569500443622286,0.005333087231509757
11,363.5,0.03924927689642066,0.01088404894773672,0.03840501410711423,0.02895073845682767,0.2757644246097055,0.012119442409579186
12,364.0,0.04304626463706074,0.011513641003240118,0.017885249249560507,0.02624643217332546,0.2786442493233465,0.01099718114254464
13,364.5,0.038163941856685035,0.012157106045274169,0.011154659789118648,0.022739918993355635,0.28756584293853094,0.012184533049274476
14,365.0,0.013368038198856458,0.02055946782113619,0.006130895501141314,0.023193002991820942,0.27271480755249106,0.01841820008898973
15,365.5,0.03558313003622937,0.01056282308381508,-0.01734812472156847,0.026929782875474075,0.2877577407567926,0.010327970335847049
16,366.0,0.022973918974484198,0.010888053888115649,0.0031355029537264586,0.01298519206982092,0.2659391847009613,0.007703010912589296
17,366.5,0.027700637208699863,0.00812832858446594,0.02727163206222121,0.014658163932748967,0.29322603015355914,0.007257852927484694
18,367.0,0.007937894876787088,0.010353032402500571,0.035291990770264244,0.0171755233348924,0.2725402386104597,0.009148199509646668
19,367.5,0.031307626059437044,0.01313322097532828,0.0033895608686904423,0.02777514303039953,0.2891243592202379,0.010861935288223965
20,368.0,0.007722672835341671,0.009682278526035938,0.010044876495723084,0.01921416552599798,0.2742920871995904,0.008857176920868149
21,368.5,0.0028858845059041016,0.01248373776585817,0.03967157403913392,0.03308132075915885,0.2757500706647239,0.010421720858393345
22,369.0,0.02239410964271038,0.014347231935711836,0.00828177710529603,0.025548339524320795,0.27423113091020285,0.010299293721273672
23,369.5,0.01260026031905026,0.014266270884690365,0.04741122001469511,0.03367387211731883,0.2580167524823543,0.012499984783442778
24,370.0,0.013159038185750038,0.009203682231236722,0.011774682699526952,0.01649190354530625,0.2768867129876527,0.0077456013046239055
25,370.5,0.018443863750187806,0.010081679274202626,0.022593850035779697,0.021987920480482457,0.29435972289914697,0.006858317939334714
26,371.0,0.022212776656757915,0.009414259443031535,0.033077599181635275,0.018691795284499952,0.2898711153255831,0.007882513658185812
27,371.5,0.02300715777305251,0.009273156218879685,0.03649354280578546,0.019880236437103266,0.29054733969380275,0.007313435430426561
28,372.0,0.02721864142290309,0.010725412794207785,0.044068971967664475,0.013205407822805,0.29070600913367367,0.008874677042285636
29,372.5,0.03483019194041981,0.019740275480787158,0.04410515014407044,0.022032588389855785,0.28253638805298636,0.016334871057962257
30,373.0,0.044743203578415436,0.020567604161646543,0.016052961929536074,0.04548939745778915,0.26780086314843043,0.019216678317129053
31,373.5,0.05089962480589616,0.01047956001505095,0.0025186103207577993,0.023724192209834887,0.27497580665136856,0.01006531710830947
32,374.0,0.007633035157659007,0.059082643678018916,0.005590725033625914,0.05697690076444648,0.31271717608567323,0.05555555526169562
33,377.0,0.019305942144762334,0.011037051243780868,-0.02043798780410968,0.017938888538549767,0.26875151406375325,0.009343225632427858
34,377.5,0.002650633558627269,0.009967751088566897,0.00352272346382341,0.026621028052027363,0.2694834735060637,0.009304366299946014
35,378.0,0.005239309805440406,0.011736287717386851,0.05371441642025533,0.018961998335970752,0.2668471875629865,0.010246355346354652
36,378.5,-0.018660107182736585,0.017335267466320414,0.04932982579107901,0.054145693456919865,0.259592502540527,0.013069402943929748
37,379.0,-0.012976750760017475,0.011302632542918313,0.017905672423262183,0.023822608461153826,0.2702693959805934,0.010315937479692136
38,379.5,-0.0056398763691254405,0.013104688135758455,0.013023960438675482,0.031601496812757306,0.26147867391537316,0.01153004432128251
39,380.0,-0.020898164034292455,0.011050035449568632,0.010422228859982022,0.026846279713480005,0.2772178685538548,0.010833409487978216
40,380.5,-0.009798132317399344,0.04452565075224733,0.007959585189002296,0.03673335915107464,0.25761484884108815,0.040490965992921436
41,381.0,-0.02249141177678271,0.022182745257028263,0.03410515284801627,0.04450994207635334,0.2766567178442693,0.02211041598250121
42,381.5,-0.021988060913887053,0.024806221858547615,-0.0008628912527311673,0.02279589992551338,0.2733637029889941,0.021404523975590693
43,382.0,-0.038354295589790754,0.040534398245822854,0.07725486944088779,0.06412562887695664,0.3079499044367337,0.04787001278133586
44,382.5,-0.016954765216543155,0.014858172683840501,0.05445312041719761,0.032536791928098684,0.2840962807580869,0.01873110443818107
45,383.0,-0.008493341637498264,0.013595009020587679,0.01461280663219014,0.0236709063410295,0.26134371386766947,0.012613049228820662
46,383.5,-0.015131715482526342,0.013021069278796139,0.05262154551316242,0.02187067200631764,0.2723008567640258,0.011980762436935114
47,384.0,-0.03595460923588223,0.04509248767735021,0.044564399173346286,0.04103640843647025,0.2957844225376445,0.04243797328276152
48,384.5,0.0053395272863533405,0.037600677373820626,-0.02155788320531101,0.06698728390140354,0.24941983282686195,0.03360541376537871
49,385.0,-0.005152739890761149,0.01771345504350749,-0.028326581103688023,0.026974565403474923,0.2834423981645032,0.013397936791102065
50,385.5,-0.014781156520125127,0.022410755244385388,0.025257059144582327,0.03199607545154321,0.2695280780615943,0.022085989790714244
51,386.0,0.009803748804566803,0.012693903431919866,0.04890367016740821,0.03263054312950113,0.2796744211824706,0.009655731152996436
52,386.5,0.019688262889284602,0.011608146561948654,0.028810248084204907,0.028112128943093815,0.24910420031089658,0.013397075876911347
53,387.0,-0.0003922534190978766,0.010506944622108437,0.058818842433359955,0.019323580178977895,0.27553909553342326,0.009049997931559584
54,387.5,0.022018578057513727,0.009813305074932863,0.020655551967973133,0.01866994678992657,0.26387014352993904,0.009132228779604472
55,388.0,-0.007120941455887375,0.015383314582887286,0.02499586178937845,0.04920271558237727,0.2609108218450832,0.01754718597977657
56,388.5,0.024005807537979096,0.022533459824276156,0.02978430473126464,0.031288500240155066,0.255044425265122,0.01235370079270845
57,389.0,0.03324908361161727,0.011695330516625614,0.012390140098800963,0.020278236269753502,0.2556708675026367,0.010977181966059417
