,Time (ms),IP (A),1 4 7 10 R,1 4 7 10 Z
0,334.226631,2520.065918,-17.09081460459736,0.10403895718530337
1,334.24663,2712.357178,-35.30208770656246,0.13271128300787716
2,334.266629,2957.528564,-36.573515053685995,0.13354662253976174
3,334.286629,3145.012695,-275.73019999333667,0.1843803778416191
4,334.306628,3351.72583,-862.0292864056659,0.24611455313446462
5,334.326627,3452.678955,-315055.3956114624,5.160340975273366
6,334.346626,3789.188965,190460.19966992334,-1.9539781696677627
7,334.366625,4015.131348,123.18421124346472,0.02394604739096972
8,334.386625,4101.662109,30.787399740981225,0.03164212975125194
9,334.406624,4433.365234,10.473682944060577,0.04706242937239319
10,334.426623,4712.1875,3.2673601437690083,0.06024087692041177
11,334.446622,4894.864258,3.1495648323298857,0.058354138662666526
12,334.466621,5173.687012,2.2085762475266324,0.059940951897281346
13,334.486621,5433.280273,1.1619497290714897,0.06440980026151685
14,334.50662,5524.618652,0.747211770755329,0.062449475151404144
15,334.526619,5846.707031,0.5975444339851281,0.06160417804189746
16,334.546618,6226.482422,0.5239657355335945,0.06515843255236506
17,334.566617,6438.00293,0.4379582460010747,0.06408979980269185
18,334.586617,6577.414551,0.3413269748773786,0.06274287966346741
19,334.606616,6851.429199,0.29334368289296914,0.06227227550321511
20,334.626615,7135.05957,0.2528246491377916,0.06258473162935459
21,334.646614,7409.074219,0.22977023390574186,0.06085911542866365
22,334.666613,7606.17334,0.206448138030063,0.060378235347228235
23,334.686613,7904.225098,0.18938034641327703,0.062217544528531406
24,334.706612,8120.553223,0.17680847097436217,0.059303257750478296
25,334.726611,8351.302734,0.16268776272174815,0.05633209090631574
26,334.74661,8562.823242,0.1537061881169087,0.057951764368810346
27,334.766609,8812.801758,0.14392522954246723,0.058291055860084
28,334.786609,9024.322266,0.1368485580471429,0.05508405230887277
29,334.806608,9259.879883,0.1288332527126106,0.055132076796200816
30,334.826607,9505.051758,0.12094021264923596,0.055851741466081434
31,334.846606,9745.416016,0.11753532111361438,0.05396029355180822
32,334.866605,9918.478516,0.11004510261169975,0.05281021599286087
33,334.886605,10163.650391,0.10681691796656315,0.05260780601658536
34,334.906604,10389.591797,0.10185854078697384,0.05270579283701246
35,334.926603,10620.341797,0.0973610571616735,0.053002469140453194
36,334.946602,10788.59668,0.09673794843115809,0.05013993416970869
37,334.966601,11009.732422,0.08900074932629724,0.04955036306740965
