TIME,IP1,IV1,IV2
0.0,10.664334,11.394884,0.20565958
0.02,10.664334,-3.3466022,0.68530726
0.04,-27.793919,-7.0319734,0.20565958
0.06,29.893461,-12.31968,-0.114105515
0.08,-22.986637,2.261572,-0.4338706
0.099999994,25.08618,-10.717345,0.36554214
0.12,-13.372073,-15.364117,-0.2739881
0.14,-8.564792,22.130533,-0.2739881
0.16,-32.6012,21.810066,0.20565958
0.17999999,-13.372073,-0.62263197,-1.0734009
0.19999999,-32.6012,15.72119,0.5254247
0.22,-18.179356,1.7808713,0.20565958
0.24,-8.564792,-2.0647337,-0.114105515
0.26,-22.986637,-10.076411,-0.114105515
0.28,-13.372073,14.1188545,0.045777034
0.29999998,29.893461,-30.426067,-0.4338706
0.32,10.664334,-0.14193134,-0.4338706
0.34,-13.372073,-2.8659017,0.045777034
0.35999998,-8.564792,-0.14193134,0.045777034
0.38,1.049771,-0.7828655,-0.114105515
0.39999998,-22.986637,-23.536026,0.36554214
0.42,1.049771,14.920023,0.045777034
0.44,-22.986637,-24.497427,-0.114105515
0.45999998,-3.7575107,27.898943,-0.114105515
0.48,-3.7575107,-25.779295,0.20565958
0.5,58.737152,-8.153608,-0.4338706
0.52,10.664334,-5.429638,0.36554214
0.53999996,20.278896,-2.5454345,0.68530726
0.56,39.508022,27.578474,0.20565958
0.58,5.857053,20.68843,0.68530726
0.59999996,10.664334,7.8697467,0.20565958
0.62,-47.023045,4.504842,0.68530726
0.64,25.08618,-22.254158,0.5254247
0.65999997,-3.7575107,24.053337,0.68530726
0.68,25.08618,24.213572,0.20565958
0.7,-37.40848,-1.5840333,0.20565958
0.71999997,15.471616,-20.01089,0.5254247
0.74,-13.372073,3.2229733,0.20565958
0.76,44.315308,23.412403,0.20565958
0.78,39.508022,20.68843,-0.2739881
0.79999995,29.893461,-12.31968,0.20565958
0.82,-13.372073,7.709513,0.36554214
0.84,10.664334,-67.600235,-0.114105515
0.85999995,5.857053,30.783146,-0.2739881
0.88,15.471616,20.848665,-0.2739881
0.9,-27.793919,6.4276443,-0.2739881
0.91999996,5.857053,2.1013381,-0.114105515
0.94,10.664334,-6.8717403,0.20565958
0.96,63.54443,0.17853576,0.5254247
0.97999996,29.893461,6.1071773,0.045777034
1.0,63.54443,-5.589872,0.045777034
1.02,34.700745,-18.889254,0.20565958
1.04,-18.179356,6.1071773,0.045777034
1.06,1.049771,27.578474,0.5254247
1.0799999,-13.372073,45.68487,0.5254247
1.1,29.893461,-3.1863687,0.20565958
1.12,5.857053,-18.889254,0.36554214
1.14,29.893461,-12.640147,0.20565958
1.16,44.315308,27.578474,0.68530726
1.18,5.857053,38.314125,0.045777034
1.1999999,-13.372073,1.9411048,0.68530726
1.22,-27.793919,-2.5454345,0.045777034
1.24,1.049771,-4.3080034,0.20565958
1.26,29.893461,-16.005053,-0.114105515
1.28,77.96628,26.296606,0.045777034
1.3,5.857053,15.400723,0.20565958
1.3199999,15.471616,7.3890457,0.68530726
1.3399999,20.278896,19.566797,0.20565958
1.36,-3.7575107,-11.037811,0.20565958
1.38,10.664334,-14.242482,0.045777034
1.4,-32.6012,20.367966,0.36554214
1.42,25.08618,-5.2694044,-0.114105515
1.4399999,1.049771,64.75268,-0.114105515
1.4599999,-37.40848,-32.34887,-0.4338706
1.48,15.471616,-13.281082,-0.2739881
1.5,-3.7575107,-24.978128,0.045777034
1.52,1.049771,-12.159447,0.045777034
1.54,-51.830326,26.777308,0.5254247
1.56,25.08618,-11.358279,0.20565958
1.5799999,-42.215763,-6.5512733,-0.114105515
1.5999999,-37.40848,-30.5863,-0.4338706
1.62,-27.793919,-7.993375,-0.4338706
1.64,25.08618,20.848665,-0.114105515
1.66,-3.7575107,0.49900287,0.36554214
1.68,34.700745,8.670914,0.5254247
1.6999999,-13.372073,-77.05401,0.045777034
1.7199999,-13.372073,6.5878778,0.045777034
1.74,1.049771,-8.153608,-0.2739881
1.76,-22.986637,6.1071773,0.36554214
1.78,5.857053,13.157454,0.5254247
1.8,-13.372073,7.709513,0.68530726
1.8199999,39.508022,5.466243,0.5254247
1.8399999,10.664334,4.6650753,-0.2739881
1.86,5.857053,12.8369875,-0.2739881
1.88,1.049771,17.96446,-0.2739881
1.9,25.08618,4.024141,-0.4338706
1.92,-47.023045,28.539877,0.5254247
1.9399999,29.893461,-2.8659017,0.5254247
1.9599999,5.857053,-27.38163,0.20565958
1.9799999,-32.6012,11.234652,0.5254247
2.0,73.159,0.9797035,0.045777034
2.02,44.315308,19.887262,0.36554214
