TIME,IP1,IV1,IV2
0.0,10.664334,-16.966454,0.045777034
0.02,-27.793919,20.848665,0.20565958
0.04,5.857053,-18.088087,0.20565958
0.06,15.471616,21.4896,0.5254247
0.08,29.893461,0.49900287,0.68530726
0.099999994,5.857053,2.5820389,0.5254247
0.12,-18.179356,46.646275,-0.114105515
0.14,106.80997,-20.171124,-0.59375316
0.16,1.049771,4.504842,0.36554214
0.17999999,15.471616,-13.281082,0.5254247
0.19999999,34.700745,10.113016,0.20565958
0.22,20.278896,-20.01089,-0.2739881
0.24,15.471616,7.549279,-0.59375316
0.26,5.857053,0.81947,0.045777034
0.28,25.08618,-57.986225,0.045777034
0.29999998,25.08618,7.0685787,0.045777034
0.32,-13.372073,-7.672908,-0.4338706
0.34,20.278896,-5.7501054,0.20565958
0.35999998,-3.7575107,10.113016,0.68530726
0.38,-3.7575107,11.394884,0.20565958
0.39999998,20.278896,0.81947,-0.2739881
0.42,5.857053,-10.717345,-0.4338706
0.44,-22.986637,-1.1033326,0.045777034
0.45999998,1.049771,-14.883417,-0.114105515
0.48,-22.986637,-5.1091714,0.20565958
0.5,10.664334,0.81947,0.20565958
0.52,29.893461,-39.719612,-0.114105515
0.53999996,1.049771,-17.607388,-0.7536357
0.56,10.664334,-0.30216488,0.20565958
0.58,-18.179356,10.433483,0.68530726
0.59999996,-3.7575107,20.68843,-0.114105515
0.62,-13.372073,26.777308,0.045777034
0.64,49.122585,5.6264763,-0.2739881
0.65999997,10.664334,6.1071773,-0.4338706
0.68,1.049771,-19.850657,0.36554214
0.7,1.049771,8.670914,-0.4338706
0.71999997,20.278896,10.75395,-0.59375316
0.74,1.049771,13.798388,-0.114105515
0.76,10.664334,-56.063423,0.20565958
0.78,10.664334,29.661512,0.8451898
0.79999995,1.049771,3.5434403,0.68530726
0.82,10.664334,-13.601548,0.045777034
0.84,15.471616,3.0627398,-0.59375316
0.85999995,20.278896,-10.877579,0.045777034
0.88,20.278896,16.52236,-0.2739881
0.9,-8.564792,-26.099764,-0.2739881
0.91999996,-51.830326,-21.292757,-0.2739881
0.94,10.664334,-13.761782,-0.114105515
0.96,-27.793919,3.3832066,-0.2739881
0.97999996,10.664334,5.6264763,0.045777034
1.0,-22.986637,-45.808483,-0.2739881
1.02,5.857053,-15.684585,0.045777034
1.04,-32.6012,-9.916177,0.5254247
1.06,-42.215763,26.617075,0.68530726
1.0799999,1.049771,9.311849,0.20565958
1.1,1.049771,-17.126686,-0.59375316
1.12,5.857053,7.3890457,0.045777034
1.14,10.664334,8.02998,-0.4338706
1.16,34.700745,9.151615,-0.2739881
1.18,5.857053,-2.0647337,-0.114105515
1.1999999,15.471616,-9.275244,0.045777034
1.22,5.857053,35.75039,0.5254247
1.24,1.049771,-10.236644,-0.2739881
1.26,-3.7575107,-2.5454345,0.045777034
1.28,-22.986637,12.51652,0.5254247
1.3,15.471616,18.765629,0.045777034
1.3199999,-3.7575107,5.145776,0.045777034
1.3399999,1.049771,-10.236644,-0.2739881
1.36,-27.793919,-15.04365,-0.2739881
1.38,-13.372073,17.643993,0.045777034
1.4,-37.40848,-0.14193134,-0.114105515
1.42,25.08618,-28.182798,-0.114105515
1.4399999,-3.7575107,14.439322,-0.2739881
1.4599999,5.857053,-15.524351,0.045777034
1.48,-27.793919,-19.209723,-0.4338706
1.5,-3.7575107,-0.46239844,0.20565958
1.52,-13.372073,-23.375792,-0.2739881
1.54,34.700745,16.52236,-0.114105515
1.56,-32.6012,-15.524351,-0.2739881
1.5799999,-8.564792,29.501278,-0.2739881
1.5999999,10.664334,-32.989803,-0.59375316
1.62,-3.7575107,-28.343033,-0.4338706
1.64,15.471616,-1.5840333,-0.114105515
1.66,10.664334,16.842825,-0.114105515
1.68,-3.7575107,13.317687,-0.2739881
1.6999999,5.857053,12.356286,0.045777034
1.7199999,-3.7575107,-5.7501054,0.20565958
1.74,29.893461,2.4218054,-0.4338706
1.76,-47.023045,4.504842,-0.2739881
1.78,-61.44489,-24.016727,0.045777034
1.8,-18.179356,-13.281082,0.045777034
1.8199999,126.0391,34.949223,-0.114105515
1.8399999,-13.372073,-32.34887,-0.4338706
1.86,1.049771,-21.613226,-0.59375316
1.88,10.664334,23.893103,0.045777034
1.9,-8.564792,31.904783,0.045777034
1.92,-3.7575107,31.744547,-0.2739881
1.9399999,-3.7575107,0.81947,0.045777034
1.9599999,15.471616,-43.084515,-0.2739881
1.9799999,-13.372073,-24.978128,-0.2739881
2.0,-13.372073,11.875586,-0.2739881
2.02,5.857053,14.920023,0.20565958
2.04,49.122585,-16.005053,-0.2739881
2.06,-18.179356,-38.27751,-0.2739881
2.08,-8.564792,-3.6670694,-0.2739881
2.1,-32.6012,-5.7501054,-0.2739881
2.12,10.664334,20.68843,0.36554214
2.1399999,-3.7575107,10.433483,0.045777034
2.1599998,-56.637608,-0.9430991,-0.4338706
2.18,-27.793919,16.20189,-0.4338706
2.2,1.049771,-8.313842,-0.4338706
