TIME,IP1,IV1,IV2
0.0,-22.986637,14.439322,0.20565958
0.02,34.700745,1.9411048,-0.114105515
0.04,5.857053,-5.1091714,-0.114105515
0.06,-18.179356,-4.948938,-0.2739881
0.08,-3.7575107,-5.2694044,-0.59375316
0.099999994,15.471616,-6.0705724,-0.7536357
0.12,15.471616,-3.1863687,-0.4338706
0.14,-13.372073,-8.313842,-0.7536357
0.16,-18.179356,3.5434403,-0.2739881
0.17999999,39.508022,2.5820389,-0.4338706
0.19999999,-27.793919,3.7036738,-0.114105515
0.22,-13.372073,1.9411048,-0.114105515
0.24,-27.793919,-6.230806,-0.4338706
0.26,20.278896,-8.313842,-0.7536357
0.28,-13.372073,-5.7501054,-0.2739881
0.29999998,-8.564792,-6.8717403,-0.59375316
0.32,15.471616,5.3060093,0.045777034
0.34,25.08618,2.7422726,-0.59375316
0.35999998,-8.564792,0.33876932,-0.114105515
0.38,-27.793919,-0.14193134,-0.4338706
0.39999998,-18.179356,-4.14777,-0.2739881
0.42,49.122585,-5.1091714,0.045777034
0.44,10.664334,-0.14193134,-0.2739881
0.45999998,25.08618,-0.30216488,-0.2739881
0.48,15.471616,-2.2249672,-0.114105515
0.5,-3.7575107,-11.358279,-0.4338706
0.52,-27.793919,4.825309,0.20565958
0.53999996,5.857053,-8.153608,-0.2739881
0.56,-8.564792,12.99722,0.045777034
0.58,15.471616,0.49900287,-0.2739881
0.59999996,-18.179356,2.7422726,-0.4338706
0.62,-3.7575107,8.991381,0.045777034
0.64,-18.179356,0.9797035,-0.2739881
0.65999997,-75.86674,10.27325,0.20565958
0.68,-22.986637,4.6650753,-0.114105515
0.7,-3.7575107,-2.7056682,-0.2739881
0.71999997,1.049771,-7.833141,-0.59375316
0.74,34.700745,0.9797035,-0.4338706
0.76,-18.179356,4.825309,-0.2739881
0.78,39.508022,-13.761782,-0.2739881
0.79999995,-51.830326,4.9855423,0.045777034
0.82,58.737152,-3.6670694,-0.4338706
0.84,-18.179356,3.8639073,-0.114105515
0.85999995,-13.372073,-2.2249672,0.045777034
0.88,15.471616,-2.8659017,-0.2739881
0.9,1.049771,4.3446083,-0.4338706
0.91999996,-13.372073,-4.6284704,-0.4338706
0.94,5.857053,4.825309,-0.114105515
0.96,-47.023045,18.284927,0.36554214
0.97999996,5.857053,4.024141,-0.2739881
1.0,5.857053,-1.1033326,-0.2739881
1.02,-8.564792,-5.7501054,-0.4338706
1.04,-8.564792,-11.678746,-0.4338706
1.06,1.049771,-5.7501054,-0.114105515
1.0799999,-85.48129,6.5878778,0.68530726
1.1,-18.179356,-7.5126743,-0.4338706
1.12,-22.986637,-1.1033326,-0.4338706
1.14,-32.6012,5.466243,-0.2739881
1.16,-61.44489,14.920023,0.20565958
1.18,-13.372073,-4.14777,-0.4338706
1.1999999,-22.986637,2.1013381,-0.114105515
1.22,-47.023045,13.317687,0.045777034
1.24,-18.179356,-1.4237996,-0.2739881
1.26,-66.25217,12.676753,-0.114105515
1.28,34.700745,-14.08225,-0.59375316
1.3,-22.986637,3.2229733,-0.114105515
1.3199999,29.893461,-0.14193134,-0.4338706
1.3399999,1.049771,-3.026135,-0.4338706
1.36,10.664334,2.1013381,-0.114105515
1.38,-32.6012,-1.5840333,-0.2739881
1.4,-13.372073,-3.026135,-0.2739881
1.42,25.08618,-6.230806,-0.4338706
1.4399999,-27.793919,6.5878778,0.20565958
1.4599999,-56.637608,5.6264763,0.20565958
1.48,58.737152,9.952783,-0.2739881
1.5,-18.179356,13.157454,0.20565958
1.52,15.471616,-6.0705724,-0.2739881
1.54,1.049771,-13.922015,-0.114105515
1.56,-22.986637,0.49900287,-0.114105515
1.5799999,1.049771,5.466243,-0.4338706
1.5999999,-47.023045,14.920023,-0.2739881
1.62,20.278896,-0.46239844,-0.114105515
1.64,-3.7575107,-4.7887044,-0.2739881
1.66,-66.25217,10.75395,0.20565958
1.68,15.471616,-2.2249672,-0.59375316
1.6999999,-18.179356,-0.9430991,-0.4338706
1.7199999,10.664334,-4.14777,-0.114105515
1.74,-3.7575107,-0.30216488,-0.2739881
1.76,5.857053,1.139937,0.045777034
1.78,5.857053,7.549279,-0.114105515
1.8,1.049771,2.4218054,-0.114105515
1.8199999,-8.564792,-3.9875362,-0.2739881
1.8399999,-13.372073,-0.7828655,-0.2739881
1.86,25.08618,-0.7828655,-0.2739881
1.88,-22.986637,5.78671,-0.114105515
1.9,-18.179356,-0.9430991,-0.59375316
1.92,-22.986637,9.632316,-0.2739881
1.9399999,1.049771,-7.192207,-0.114105515
1.9599999,-13.372073,-3.1863687,-0.4338706
1.9799999,10.664334,-7.833141,-1.0734009
2.0,-18.179356,0.81947,-0.114105515
2.02,20.278896,-9.435476,-0.2739881
2.04,-32.6012,-3.026135,0.045777034
2.06,-18.179356,-0.46239844,-0.4338706
2.08,-47.023045,6.5878778,-0.2739881
2.1,-3.7575107,-4.7887044,-0.59375316
2.12,1.049771,23.091934,0.045777034
2.1399999,-47.023045,-2.7056682,-0.2739881
2.1599998,1.049771,3.7036738,-0.7536357
2.18,1.049771,1.6206378,-0.2739881
2.2,-80.67402,6.1071773,0.20565958
2.22,-8.564792,1.139937,0.20565958
2.24,-47.023045,7.228812,0.045777034
2.26,102.002686,-5.7501054,-0.9135183
2.28,20.278896,-3.1863687,-0.2739881
2.3,5.857053,-4.14777,-0.114105515
2.32,1.049771,4.3446083,0.045777034
2.34,-3.7575107,1.7808713,-0.4338706
2.36,1.049771,0.81947,-0.2739881
2.3799999,-3.7575107,-1.4237996,-0.114105515
2.3999999,1.049771,19.727032,0.045777034
2.4199998,-8.564792,2.1013381,-0.114105515
2.44,49.122585,-7.0319734,-0.2739881
2.46,-42.215763,6.908345,0.20565958
2.48,10.664334,-1.9045002,-0.114105515
2.5,25.08618,-10.076411,-0.114105515
2.52,49.122585,-0.7828655,-0.114105515
2.54,-3.7575107,1.4604042,-0.2739881
2.56,44.315308,-1.5840333,0.045777034
2.58,20.278896,-14.883417,-0.7536357
2.6,-27.793919,14.1188545,0.5254247
2.62,-3.7575107,-4.14777,0.045777034
2.6399999,-13.372073,-0.46239844,0.045777034
2.6599998,5.857053,12.035819,0.045777034
2.6799998,34.700745,-11.198046,-0.114105515
2.7,-32.6012,3.3832066,0.045777034
2.72,-32.6012,-19.369957,-0.59375316
2.74,25.08618,-3.3466022,-0.59375316
2.76,1.049771,4.6650753,0.045777034
2.78,44.315308,-16.005053,-0.4338706
2.8,-3.7575107,2.7422726,0.36554214
2.82,5.857053,6.7481112,0.045777034
2.84,-8.564792,-4.948938,-0.2739881
2.86,1.049771,0.33876932,0.045777034
2.8799999,5.857053,0.018302217,0.20565958
2.8999999,-47.023045,17.00306,0.5254247
2.9199998,-13.372073,-1.9045002,-0.114105515
2.9399998,10.664334,0.49900287,-0.114105515
2.96,-27.793919,1.6206378,-0.114105515
2.98,5.857053,-4.6284704,0.045777034
3.0,-13.372073,3.0627398,0.045777034
3.02,-80.67402,-3.6670694,0.045777034
3.04,15.471616,-6.711507,-0.4338706
3.06,20.278896,-1.1033326,-0.2739881
3.08,29.893461,-12.31968,-0.4338706
3.1,-3.7575107,3.8639073,0.045777034
3.12,-22.986637,4.024141,-0.114105515
3.1399999,-3.7575107,4.825309,-0.114105515
3.1599998,20.278896,13.798388,0.5254247
3.1799998,10.664334,-1.2635663,0.045777034
3.1999998,-37.40848,4.825309,-0.114105515
3.22,5.857053,8.02998,-0.114105515
3.24,-8.564792,5.145776,0.20565958
3.26,10.664334,-3.9875362,-0.2739881
3.28,49.122585,0.018302217,-0.114105515
3.3,25.08618,1.3001705,-0.4338706
3.32,-18.179356,0.49900287,-0.114105515
3.34,-18.179356,-3.5068357,0.045777034
3.36,29.893461,11.715352,0.36554214
3.3799999,-18.179356,2.902506,0.20565958
3.3999999,1.049771,1.7808713,0.045777034
3.4199998,82.77356,0.33876932,0.045777034
3.4399998,-32.6012,-2.8659017,0.20565958
3.46,1.049771,-1.1033326,0.20565958
3.48,-8.564792,-12.640147,-0.114105515
3.5,10.664334,6.5878778,0.20565958
3.52,-13.372073,5.6264763,0.5254247
3.54,34.700745,-21.132523,0.045777034
3.56,-27.793919,12.035819,0.36554214
3.58,-3.7575107,0.49900287,0.20565958
3.6,-8.564792,10.914185,0.045777034
3.62,10.664334,3.3832066,0.36554214
3.6399999,-32.6012,7.709513,0.68530726
3.6599998,-8.564792,9.311849,0.36554214
3.6799998,-8.564792,1.7808713,0.5254247
3.6999998,29.893461,-17.447153,-0.114105515
3.72,15.471616,-4.3080034,0.045777034
3.74,29.893461,-11.198046,-0.2739881
3.76,-8.564792,4.825309,0.045777034
3.78,25.08618,-10.877579,-0.114105515
3.8,-18.179356,-5.589872,0.20565958
3.82,49.122585,5.6264763,0.045777034
3.84,39.508022,5.9469438,0.20565958
3.86,58.737152,4.184375,-0.2739881
3.8799999,-27.793919,0.81947,0.045777034
3.8999999,5.857053,5.6264763,0.045777034
3.9199998,-18.179356,7.228812,0.20565958
3.9399998,15.471616,-1.1033326,0.045777034
3.9599998,-8.564792,-8.474075,-0.2739881
3.98,-3.7575107,-1.1033326,-0.2739881
4.0,-13.372073,1.3001705,0.20565958
4.02,10.664334,-0.14193134,0.045777034
4.04,5.857053,0.6592364,0.045777034
4.06,-3.7575107,3.3832066,0.36554214
4.08,29.893461,0.17853576,0.045777034
4.1,-27.793919,-2.385201,0.045777034
4.12,25.08618,3.3832066,0.045777034
4.14,58.737152,-0.62263197,0.045777034
4.16,-18.179356,0.81947,0.20565958
4.18,-27.793919,1.139937,-0.114105515
4.2,-13.372073,-3.026135,-0.114105515
4.22,-3.7575107,0.17853576,0.045777034
4.24,10.664334,-9.275244,-0.7536357
4.2599998,-3.7575107,-4.7887044,-0.4338706
4.2799997,-3.7575107,-7.0319734,-0.59375316
4.2999997,-51.830326,2.4218054,0.20565958
4.3199997,10.664334,-2.2249672,0.045777034
4.3399997,-18.179356,11.074417,-0.114105515
4.36,10.664334,-2.2249672,-0.4338706
4.38,20.278896,4.9855423,-0.4338706
4.4,25.08618,-2.8659017,-0.4338706
4.42,-27.793919,0.018302217,-0.114105515
4.44,39.508022,-9.916177,-0.4338706
4.46,5.857053,-2.8659017,-0.2739881
4.48,-42.215763,0.6592364,-0.114105515
4.5,-27.793919,4.504842,-0.114105515
4.52,-3.7575107,-3.3466022,-0.2739881
4.54,-119.13227,-1.7442669,0.20565958
4.56,-18.179356,-4.468237,-0.4338706
4.58,5.857053,-4.468237,-0.114105515
4.6,29.893461,-14.883417,-0.114105515
4.62,49.122585,-0.30216488,-0.59375316
4.64,-3.7575107,-4.948938,-0.59375316
4.66,25.08618,-12.960614,-0.114105515
4.68,-3.7575107,-4.6284704,-0.2739881
4.7,25.08618,-3.827303,-0.59375316
4.72,-13.372073,-23.21556,-0.4338706
4.74,-22.986637,-1.5840333,0.045777034
4.7599998,-42.215763,4.9855423,-0.114105515
4.7799997,29.893461,16.52236,-0.114105515
4.7999997,-8.564792,-1.5840333,-0.2739881
4.8199997,5.857053,5.145776,-0.4338706
4.8399997,10.664334,-14.723184,-0.59375316
4.8599997,15.471616,-2.2249672,-0.114105515
4.88,1.049771,1.9411048,0.20565958
4.9,1.049771,1.6206378,-0.2739881
4.92,1.049771,-0.14193134,0.045777034
4.94,68.35171,-15.203884,-0.59375316
