TIME,IP1,IV1,IV2
0.0,1.049771,23.252169,0.045777034
0.02,10.664334,38.95506,0.045777034
0.04,-22.986637,4.504842,0.045777034
0.06,10.664334,-33.630737,0.36554214
0.08,25.08618,-44.847084,0.5254247
0.099999994,15.471616,6.7481112,-0.4338706
0.12,25.08618,-24.657661,-0.4338706
0.14,-3.7575107,-12.640147,-0.7536357
0.16,53.92987,-5.589872,0.20565958
0.17999999,25.08618,17.804228,0.36554214
0.19999999,49.122585,-20.331356,0.20565958
0.22,10.664334,-21.292757,-0.114105515
0.24,1.049771,4.3446083,-0.114105515
0.26,-8.564792,12.676753,0.20565958
0.28,10.664334,-3.5068357,-0.4338706
0.29999998,-3.7575107,-20.651823,-0.4338706
0.32,-27.793919,-5.2694044,0.20565958
0.34,-13.372073,3.2229733,0.045777034
0.35999998,-8.564792,6.4276443,-0.114105515
0.38,-22.986637,8.670914,0.045777034
0.39999998,-8.564792,-3.6670694,0.20565958
0.42,-27.793919,-3.1863687,-0.114105515
0.44,-18.179356,-10.557112,0.045777034
0.45999998,-8.564792,-2.8659017,-0.114105515
0.48,-37.40848,-27.541864,-0.2739881
0.5,25.08618,-11.83898,-0.114105515
0.52,29.893461,7.228812,0.045777034
0.53999996,-22.986637,-22.574625,-0.7536357
0.56,20.278896,3.2229733,-0.2739881
0.58,29.893461,-5.7501054,-0.7536357
0.59999996,-32.6012,-12.159447,-0.7536357
0.62,-13.372073,-26.259996,-0.7536357
0.64,-61.44489,11.234652,0.045777034
0.65999997,-3.7575107,4.825309,-0.114105515
0.68,-51.830326,-12.159447,-0.7536357
0.7,-8.564792,-4.7887044,-0.59375316
0.71999997,-3.7575107,29.18081,0.045777034
0.74,-27.793919,20.207731,-0.4338706
0.76,5.857053,16.041658,0.045777034
0.78,-47.023045,21.0089,0.045777034
0.79999995,10.664334,-78.816574,-0.59375316
0.82,10.664334,-0.9430991,-0.2739881
0.84,1.049771,-16.645985,0.045777034
0.85999995,5.857053,-11.999213,-0.2739881
0.88,20.278896,-50.615486,-0.2739881
0.9,5.857053,16.20189,0.045777034
0.91999996,1.049771,29.98198,0.36554214
0.94,25.08618,8.831148,-0.114105515
0.96,1.049771,-11.678746,-0.4338706
0.97999996,-8.564792,-25.298595,0.20565958
1.0,10.664334,12.51652,0.36554214
1.02,1.049771,45.20417,0.5254247
1.04,-3.7575107,-17.927853,0.045777034
1.06,15.471616,-11.678746,0.20565958
1.0799999,-18.179356,-24.497427,-0.114105515
1.1,10.664334,-12.800381,-0.114105515
1.12,-13.372073,45.364407,0.045777034
1.14,29.893461,-27.862331,-0.4338706
1.16,34.700745,-33.951202,-0.7536357
1.18,-3.7575107,-16.005053,-0.114105515
1.1999999,-13.372073,-15.844818,0.045777034
1.22,5.857053,-53.980392,-0.2739881
1.24,29.893461,-1.9045002,-0.2739881
1.26,-18.179356,-6.711507,-0.4338706
1.28,-8.564792,-11.999213,-0.2739881
1.3,1.049771,-18.568789,-0.2739881
1.3199999,-8.564792,21.0089,-0.2739881
1.3399999,5.857053,4.6650753,0.045777034
1.36,-18.179356,-8.794542,0.68530726
1.38,5.857053,-23.536026,0.20565958
1.4,10.664334,-19.369957,0.5254247
1.42,5.857053,-8.954777,0.5254247
1.4399999,-18.179356,-14.723184,-0.114105515
1.4599999,5.857053,-23.21556,-0.59375316
1.48,-8.564792,-11.518513,-0.4338706
1.5,-13.372073,3.0627398,0.20565958
1.52,-32.6012,6.2674108,0.20565958
1.54,25.08618,18.605394,0.045777034
1.56,25.08618,7.549279,-0.4338706
1.5799999,-3.7575107,-11.83898,-0.4338706
1.5999999,5.857053,-20.812057,-0.4338706
1.62,-8.564792,-19.530188,-0.114105515
1.64,-8.564792,-12.800381,-0.114105515
1.66,-32.6012,-14.723184,0.045777034
1.68,34.700745,-24.497427,0.20565958
1.6999999,-18.179356,38.314125,0.5254247
1.7199999,-3.7575107,-9.115009,-0.2739881
1.74,-51.830326,-6.3910394,-0.4338706
1.76,-3.7575107,-6.5512733,-0.4338706
1.78,-8.564792,-10.076411,-0.114105515
1.8,10.664334,-22.414392,0.68530726
1.8199999,1.049771,-24.337194,0.20565958
1.8399999,-13.372073,13.798388,0.68530726
1.86,25.08618,-5.2694044,0.36554214
1.88,1.049771,-10.076411,-0.114105515
1.9,-3.7575107,10.433483,0.36554214
1.92,-8.564792,17.163294,-0.114105515
1.9399999,1.049771,-19.209723,0.20565958
1.9599999,25.08618,27.097775,-0.114105515
1.9799999,44.315308,-4.14777,-0.114105515
2.0,5.857053,-4.7887044,0.68530726
2.02,10.664334,-20.651823,0.36554214
2.04,34.700745,-36.995644,-0.4338706
2.06,-32.6012,7.228812,0.045777034
2.08,1.049771,-11.678746,0.20565958
2.1,20.278896,-11.678746,0.045777034
2.12,-27.793919,13.157454,0.045777034
2.1399999,15.471616,12.99722,0.5254247
2.1599998,15.471616,-14.723184,0.36554214
2.18,10.664334,13.477921,0.5254247
