TIME,IP1,IV1,IV2
0.0,25.08618,0.49900287,0.045777034
0.02,34.700745,0.33876932,0.36554214
0.04,-8.564792,0.49900287,0.36554214
0.06,1.049771,0.17853576,-0.2739881
0.08,1.049771,0.49900287,0.045777034
0.099999994,53.92987,3.0627398,-0.2739881
0.12,-22.986637,-0.7828655,0.045777034
0.14,25.08618,0.81947,-0.114105515
0.16,-8.564792,-0.62263197,0.045777034
0.17999999,-8.564792,-0.14193134,0.20565958
0.19999999,49.122585,0.9797035,0.045777034
0.22,34.700745,0.49900287,0.20565958
0.24,1.049771,-0.46239844,0.045777034
0.26,5.857053,0.6592364,0.045777034
0.28,53.92987,2.7422726,0.045777034
0.29999998,44.315308,0.81947,-0.114105515
0.32,-13.372073,-0.30216488,0.045777034
0.34,-13.372073,-0.14193134,0.045777034
0.35999998,10.664334,1.3001705,0.045777034
0.38,-8.564792,0.81947,0.36554214
0.39999998,-32.6012,-0.9430991,0.5254247
0.42,-8.564792,0.17853576,0.20565958
0.44,10.664334,0.33876932,0.20565958
0.45999998,-3.7575107,0.17853576,0.045777034
0.48,-3.7575107,0.17853576,0.045777034
0.5,-3.7575107,0.6592364,0.36554214
0.52,-109.5177,-2.0647337,-0.114105515
0.53999996,-66.25217,-0.30216488,-0.114105515
0.56,-47.023045,0.49900287,-0.2739881
0.58,-27.793919,0.33876932,0.045777034
0.59999996,73.159,3.7036738,0.045777034
0.62,-27.793919,-0.14193134,0.045777034
0.64,1.049771,1.139937,0.36554214
0.65999997,-47.023045,-0.9430991,-0.114105515
0.68,-3.7575107,-0.14193134,0.20565958
0.7,-27.793919,-0.46239844,-0.114105515
0.71999997,-51.830326,-1.4237996,-0.114105515
0.74,29.893461,1.4604042,0.20565958
0.76,5.857053,0.33876932,0.20565958
0.78,-8.564792,-0.46239844,0.68530726
0.79999995,-27.793919,0.018302217,0.20565958
0.82,126.0391,4.184375,0.045777034
0.84,5.857053,-0.62263197,0.045777034
0.85999995,44.315308,2.261572,0.20565958
0.88,-22.986637,-0.14193134,0.20565958
0.9,25.08618,0.81947,0.045777034
0.91999996,29.893461,1.6206378,-0.114105515
0.94,-3.7575107,-0.62263197,0.20565958
0.96,-13.372073,-0.62263197,0.5254247
0.97999996,39.508022,1.4604042,0.20565958
1.0,5.857053,0.49900287,-0.2739881
1.02,-8.564792,-0.30216488,0.045777034
1.04,44.315308,0.81947,0.20565958
1.06,-8.564792,0.17853576,0.36554214
1.0799999,-47.023045,-0.9430991,0.045777034
1.1,10.664334,0.81947,0.045777034
1.12,-61.44489,-0.9430991,-0.114105515
1.14,53.92987,1.6206378,0.20565958
1.16,-51.830326,-1.1033326,-0.114105515
1.18,15.471616,0.49900287,-0.114105515
1.1999999,15.471616,0.33876932,0.20565958
1.22,-37.40848,-0.14193134,-0.114105515
1.24,-56.637608,-0.46239844,0.68530726
1.26,-18.179356,-0.46239844,-0.2739881
1.28,-66.25217,-2.0647337,0.045777034
1.3,1.049771,1.139937,-0.2739881
