TIME,IP1,IV1,IV2
0.0,1.049771,0.33876932,-0.4338706
0.02,25.08618,-19.690422,-0.114105515
0.04,-3.7575107,0.49900287,0.045777034
0.06,1.049771,-6.3910394,-0.7536357
0.08,-51.830326,47.607674,0.045777034
0.099999994,-18.179356,-8.794542,-0.114105515
0.12,-32.6012,-27.702099,-0.4338706
0.14,-13.372073,-11.198046,0.045777034
0.16,29.893461,28.539877,0.20565958
0.17999999,1.049771,44.403,0.20565958
0.19999999,-22.986637,-20.972292,0.045777034
0.22,-42.215763,-11.198046,0.8451898
0.24,15.471616,3.5434403,-0.2739881
0.26,1.049771,18.605394,0.20565958
0.28,-18.179356,-40.841244,0.20565958
0.29999998,5.857053,-33.790974,0.045777034
0.32,-32.6012,35.269688,0.20565958
0.34,5.857053,19.086096,0.5254247
0.35999998,20.278896,1.7808713,0.5254247
0.38,-13.372073,19.406563,0.68530726
0.39999998,-3.7575107,-24.817896,0.5254247
0.42,-22.986637,-28.182798,0.045777034
0.44,10.664334,17.163294,0.045777034
0.45999998,25.08618,14.439322,-0.4338706
0.48,-51.830326,-4.948938,-0.2739881
0.5,-3.7575107,-14.402717,-0.4338706
0.52,25.08618,12.196053,0.045777034
0.53999996,-3.7575107,-8.153608,-0.114105515
0.56,20.278896,-2.8659017,-0.114105515
0.58,5.857053,-16.966454,0.20565958
0.59999996,15.471616,-26.740696,0.045777034
0.62,20.278896,5.466243,0.045777034
0.64,15.471616,2.5820389,-0.4338706
0.65999997,1.049771,-2.7056682,-0.7536357
0.68,1.049771,4.024141,-0.2739881
0.7,-42.215763,17.643993,-0.114105515
0.71999997,29.893461,20.848665,-0.114105515
0.74,-3.7575107,11.715352,-0.114105515
0.76,-27.793919,23.732868,0.20565958
0.78,-56.637608,-7.192207,-0.114105515
0.79999995,-22.986637,-7.833141,-0.114105515
0.82,-42.215763,-12.31968,-0.4338706
0.84,-18.179356,-23.375792,-0.4338706
0.85999995,34.700745,-27.541864,0.045777034
0.88,-8.564792,-71.44584,0.045777034
0.9,-8.564792,7.0685787,0.045777034
0.91999996,-3.7575107,-8.634309,-0.4338706
0.94,29.893461,15.080256,-0.2739881
0.96,-37.40848,-42.283344,-0.9135183
0.97999996,-32.6012,34.78899,0.5254247
1.0,73.159,-29.1442,0.20565958
1.02,1.049771,-8.313842,0.20565958
1.04,-18.179356,6.4276443,0.20565958
1.06,-27.793919,-7.833141,-0.2739881
1.0799999,5.857053,7.8697467,-0.114105515
1.1,1.049771,-7.672908,0.045777034
1.12,34.700745,-0.14193134,0.045777034
1.14,-13.372073,15.080256,0.045777034
1.16,-51.830326,35.590153,-0.114105515
1.18,-3.7575107,12.356286,0.045777034
1.1999999,15.471616,-22.254158,-0.2739881
1.22,1.049771,-8.153608,0.045777034
1.24,39.508022,0.49900287,0.045777034
1.26,-18.179356,1.6206378,-0.59375316
1.28,39.508022,25.335205,0.20565958
1.3,-8.564792,10.593717,0.045777034
1.3199999,25.08618,-9.115009,0.045777034
1.3399999,49.122585,-5.910339,-0.114105515
1.36,5.857053,1.3001705,0.20565958
1.38,5.857053,34.949223,0.68530726
1.4,-42.215763,-6.0705724,0.20565958
1.42,15.471616,7.709513,0.045777034
1.4399999,20.278896,10.113016,-0.2739881
1.4599999,-18.179356,8.991381,-0.9135183
1.48,1.049771,-5.910339,-0.7536357
1.5,20.278896,-0.9430991,-0.59375316
1.52,-18.179356,7.8697467,0.045777034
1.54,-18.179356,-36.675175,0.20565958
1.56,-13.372073,-9.755944,-0.2739881
1.5799999,39.508022,13.958622,0.045777034
1.5999999,1.049771,-5.589872,-0.2739881
1.62,-56.637608,6.5878778,-0.2739881
1.64,-22.986637,-11.358279,-0.4338706
1.66,20.278896,-26.259996,-0.59375316
1.68,25.08618,-8.634309,-0.4338706
1.6999999,-42.215763,-23.69626,0.20565958
1.7199999,1.049771,16.20189,0.36554214
1.74,15.471616,-6.711507,0.20565958
1.76,39.508022,1.3001705,-0.2739881
1.78,-3.7575107,-27.061165,-0.114105515
1.8,29.893461,-9.755944,0.20565958
1.8199999,-13.372073,-0.30216488,0.20565958
1.8399999,1.049771,-10.877579,-0.114105515
1.86,1.049771,-1.1033326,-0.4338706
1.88,15.471616,3.0627398,-0.114105515
1.9,29.893461,-24.817896,-0.114105515
1.92,-32.6012,-29.624899,0.045777034
