TIME,IP1,IV1,IV2
0.0,25.08618,-5.2694044,-0.2739881
0.02,29.893461,29.98198,0.20565958
0.04,5.857053,7.549279,0.045777034
0.06,29.893461,0.81947,-0.2739881
0.08,-8.564792,-7.993375,-0.114105515
0.099999994,-13.372073,-14.402717,-0.4338706
0.12,44.315308,16.041658,0.68530726
0.14,-22.986637,48.569077,0.20565958
0.16,10.664334,1.4604042,-0.2739881
0.17999999,-8.564792,24.213572,-0.114105515
0.19999999,-22.986637,3.3832066,0.045777034
0.22,1.049771,-11.198046,-0.114105515
0.24,10.664334,-4.7887044,-0.114105515
0.26,34.700745,4.6650753,0.045777034
0.28,-3.7575107,5.145776,0.045777034
0.29999998,10.664334,-10.076411,0.20565958
0.32,1.049771,-12.31968,0.20565958
0.34,-27.793919,-23.856495,0.20565958
0.35999998,44.315308,10.593717,0.20565958
0.38,5.857053,0.9797035,0.045777034
0.39999998,15.471616,-6.711507,0.20565958
0.42,5.857053,-5.910339,-0.2739881
0.44,5.857053,-16.485752,-0.114105515
0.45999998,-18.179356,12.356286,-0.114105515
0.48,29.893461,2.902506,0.045777034
0.5,10.664334,12.356286,0.36554214
0.52,-3.7575107,-1.4237996,0.20565958
0.53999996,-27.793919,22.130533,0.5254247
0.56,15.471616,4.825309,-0.4338706
0.58,-22.986637,-53.659924,0.36554214
0.59999996,-13.372073,29.98198,0.045777034
0.62,29.893461,9.472081,0.5254247
0.64,-22.986637,-13.601548,-0.114105515
0.65999997,1.049771,6.908345,0.045777034
0.68,-18.179356,15.080256,-0.59375316
0.7,5.857053,36.872025,-0.2739881
0.71999997,20.278896,45.52464,0.045777034
0.74,-13.372073,32.065014,0.36554214
0.76,-27.793919,-8.634309,0.68530726
0.78,10.664334,2.7422726,0.20565958
0.79999995,5.857053,-6.711507,0.045777034
0.82,-8.564792,5.145776,0.20565958
0.84,15.471616,-7.672908,-0.4338706
0.85999995,34.700745,33.346886,0.20565958
0.88,29.893461,8.670914,0.045777034
0.9,20.278896,-5.7501054,-0.59375316
0.91999996,20.278896,-6.230806,-0.59375316
0.94,-13.372073,6.1071773,-0.2739881
0.96,-3.7575107,2.4218054,0.045777034
0.97999996,-22.986637,-4.6284704,-0.114105515
1.0,1.049771,-6.8717403,0.045777034
1.02,15.471616,-27.38163,-0.2739881
1.04,-27.793919,-6.711507,-0.114105515
1.06,-3.7575107,-30.426067,-0.2739881
1.0799999,25.08618,-7.192207,0.20565958
1.1,10.664334,32.866184,0.20565958
1.12,25.08618,-32.028404,0.20565958
1.14,-8.564792,-2.385201,0.045777034
1.16,25.08618,-2.8659017,0.045777034
1.18,-3.7575107,32.065014,-0.2739881
1.1999999,-8.564792,-22.574625,-0.4338706
1.22,-18.179356,2.7422726,-0.4338706
1.24,-13.372073,-0.30216488,0.36554214
1.26,-13.372073,-0.14193134,0.045777034
1.28,-32.6012,11.555119,0.36554214
1.3,-13.372073,-16.165285,-0.114105515
1.3199999,5.857053,-4.3080034,-0.2739881
1.3399999,-61.44489,-1.4237996,-0.2739881
1.36,1.049771,6.1071773,-0.114105515
1.38,1.049771,-12.640147,0.20565958
1.4,87.58084,-32.028404,0.20565958
