TIME,IP1,IV1,IV2
0.0,-18.179356,2.1013381,-0.2739881
0.02,82.77356,15.24049,0.20565958
0.04,-176.81964,0.33876932,0.20565958
0.06,63.54443,4.504842,-0.114105515
0.08,-42.215763,-16.645985,0.20565958
0.099999994,-22.986637,-12.31968,-0.4338706
0.12,92.38812,-3.5068357,-0.2739881
0.14,-8.564792,-10.396878,0.20565958
0.16,63.54443,2.1013381,0.045777034
0.17999999,-37.40848,-13.281082,-0.114105515
0.19999999,-75.86674,-2.7056682,-0.114105515
0.22,92.38812,0.49900287,-0.59375316
0.24,63.54443,10.593717,-0.2739881
0.26,20.278896,-6.0705724,-0.114105515
0.28,106.80997,-4.14777,-0.59375316
0.29999998,-42.215763,-9.435476,-0.2739881
0.32,140.46094,11.875586,0.20565958
0.34,44.315308,-2.385201,-0.2739881
0.35999998,1.049771,-1.1033326,-0.114105515
0.38,-13.372073,-0.30216488,0.045777034
0.39999998,34.700745,2.1013381,-0.4338706
0.42,-42.215763,0.17853576,-0.114105515
0.44,-75.86674,5.3060093,0.20565958
0.45999998,-90.288574,-14.723184,-0.114105515
0.48,-90.288574,-7.352441,-0.2739881
0.5,-47.023045,1.4604042,-0.114105515
0.52,-8.564792,-5.910339,-0.2739881
0.53999996,53.92987,-15.04365,-0.4338706
0.56,-47.023045,-3.827303,-0.4338706
0.58,-37.40848,11.394884,-0.4338706
0.59999996,-71.05945,-3.026135,-0.2739881
0.62,150.0755,8.670914,-0.2739881
0.64,-61.44489,14.599556,0.20565958
0.65999997,-18.179356,-0.14193134,-0.2739881
0.68,-119.13227,-11.037811,-0.4338706
0.7,-42.215763,-13.120848,-0.2739881
0.71999997,-75.86674,-6.0705724,-0.114105515
0.74,-71.05945,-3.827303,-0.114105515
0.76,5.857053,3.0627398,-0.2739881
0.78,-8.564792,-5.589872,-0.2739881
0.79999995,77.96628,13.157454,0.20565958
0.82,126.0391,34.148052,0.5254247
0.84,-13.372073,-1.4237996,-0.114105515
0.85999995,-47.023045,-18.408554,-0.59375316
0.88,5.857053,1.6206378,-0.114105515
0.9,-3.7575107,9.632316,0.20565958
0.91999996,178.91919,3.3832066,-0.2739881
0.94,-27.793919,0.6592364,0.045777034
0.96,15.471616,5.3060093,-0.114105515
0.97999996,25.08618,-3.9875362,-0.59375316
1.0,-47.023045,8.190214,0.045777034
1.02,102.002686,2.902506,0.045777034
1.04,10.664334,3.2229733,-0.114105515
1.06,-71.05945,-6.8717403,-0.114105515
1.0799999,34.700745,-5.910339,-0.114105515
1.1,-42.215763,-11.83898,0.045777034
1.12,-13.372073,-9.916177,0.045777034
1.14,-71.05945,3.7036738,0.045777034
1.16,68.35171,17.323528,0.045777034
1.18,-56.637608,1.3001705,-0.4338706
1.1999999,-37.40848,3.2229733,0.20565958
1.22,34.700745,3.5434403,-0.114105515
1.24,-61.44489,1.9411048,0.20565958
1.26,87.58084,-4.3080034,-0.114105515
1.28,73.159,7.228812,0.045777034
1.3,92.38812,-14.08225,-0.2739881
1.3199999,5.857053,-6.230806,-0.7536357
1.3399999,135.65366,3.2229733,-0.2739881
1.36,-27.793919,-2.8659017,-0.114105515
1.38,53.92987,-6.711507,-0.114105515
1.4,-27.793919,2.5820389,0.20565958
1.42,39.508022,2.1013381,-0.114105515
1.4399999,-13.372073,-18.248322,-0.4338706
1.4599999,53.92987,1.3001705,-0.114105515
1.48,1.049771,3.0627398,0.20565958
1.5,29.893461,-5.1091714,-0.114105515
1.52,-95.09586,-5.7501054,-0.114105515
1.54,-42.215763,5.9469438,-0.114105515
1.56,188.53375,8.670914,-0.114105515
1.5799999,-8.564792,-9.115009,-0.2739881
1.5999999,-27.793919,1.9411048,0.20565958
1.62,126.0391,-11.678746,-0.2739881
1.64,-47.023045,10.433483,0.5254247
1.66,53.92987,2.902506,0.20565958
1.68,63.54443,19.727032,0.68530726
1.6999999,-71.05945,-3.827303,-0.2739881
1.7199999,20.278896,1.9411048,0.20565958
1.74,92.38812,-1.2635663,-0.114105515
1.76,-22.986637,-1.2635663,-0.114105515
1.78,-51.830326,-13.281082,-0.4338706
1.8,-13.372073,-2.8659017,-0.114105515
1.8199999,-32.6012,3.0627398,0.20565958
1.8399999,-71.05945,-22.254158,-0.2739881
1.86,82.77356,2.902506,-0.114105515
1.88,25.08618,-5.1091714,0.045777034
